Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
35,140379497298944,true,1788553196.697039,2,12171,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
35,140379497298944,false,1788553196.698,2,12171,-1264.66,-78.94,-314.84,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
36,140379497298944,true,1788553196.713694,2,12171,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
36,140379497298944,false,1788553196.715,2,12173,-1264.70,-79.02,-314.89,-11.87,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
37,140379497298944,true,1788553196.730416,2,12173,35.27,-116.64,15000.00,0.00,-2.80,11.87,0.0,0.0,0.0,0.0,0.0,0.0
37,140379497298944,false,1788553196.731,2,12173,-1264.72,-79.04,-314.90,-11.86,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
38,140379497298944,true,1788553196.747213,2,12173,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
38,140379497298944,false,1788553196.748,2,12175,-1264.75,-79.08,-314.91,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
39,140379497298944,true,1788553196.763798,2,12175,35.27,-116.64,15000.00,0.00,-2.79,11.85,0.0,0.0,0.0,0.0,0.0,0.0
39,140379497298944,false,1788553196.765,2,12175,-1264.75,-79.09,-314.93,-11.87,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
40,140379497298944,true,1788553196.780365,2,12175,35.27,-116.64,15000.00,0.00,-2.80,11.87,0.0,0.0,0.0,0.0,0.0,0.0
40,140379497298944,false,1788553196.781,2,12177,-1264.71,-79.13,-314.91,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
41,140379497298944,true,1788553196.797067,2,12177,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
41,140379497298944,false,1788553196.798,2,12177,-1264.70,-79.16,-314.90,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
42,140379497298944,true,1788553196.813662,2,12177,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
42,140379497298944,false,1788553196.815,2,12179,-1264.64,-79.16,-314.86,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
43,140379497298944,true,1788553196.830424,2,12179,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
43,140379497298944,false,1788553196.831,2,12179,-1264.61,-79.17,-314.88,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
44,140379497298944,true,1788553196.847227,2,12179,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
44,140379497298944,false,1788553196.848,2,12181,-1264.58,-79.21,-314.87,-11.86,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
45,140379497298944,true,1788553196.863733,2,12181,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
45,140379497298944,false,1788553196.865,2,12181,-1264.57,-79.22,-314.89,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
46,140379497298944,true,1788553196.880356,2,12181,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
46,140379497298944,false,1788553196.881,2,12183,-1264.56,-79.30,-314.87,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
47,140379497298944,true,1788553196.897051,2,12183,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
47,140379497298944,false,1788553196.898,2,12183,-1264.55,-79.32,-314.88,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
48,140379497298944,true,1788553196.913710,2,12183,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
48,140379497298944,false,1788553196.915,2,12185,-1264.54,-79.36,-314.88,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
49,140379497298944,true,1788553196.930332,2,12185,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
49,140379497298944,false,1788553196.931,2,12185,-1264.52,-79.37,-314.88,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
50,140379497298944,true,1788553196.947067,2,12185,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
50,140379497298944,false,1788553196.948,2,12187,-1264.55,-79.29,-314.81,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
51,140379497298944,true,1788553196.963684,2,12187,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
51,140379497298944,false,1788553196.965,2,12187,-1264.53,-79.26,-314.82,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
52,140379497298944,true,1788553196.980353,2,12187,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
52,140379497298944,false,1788553196.981,2,12189,-1264.54,-79.23,-314.87,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
53,140379497298944,true,1788553196.996965,2,12189,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
53,140379497298944,false,1788553196.998,2,12189,-1264.56,-79.25,-314.87,-11.86,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
54,140379497298944,true,1788553197.013639,2,12189,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
54,140379497298944,false,1788553197.015,2,12191,-1264.54,-79.31,-314.88,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
55,140379497298944,true,1788553197.030343,2,12191,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
